EngagementID,UserID,ActionType,ActionDate,DeviceType,Duration
1,469,Added a transaction,2024-03-22,Mobile,2355
2,3907,Joined a group,2024-11-23,Web,2121
3,1227,Joined a group,2024-06-08,Mobile,2429
4,1301,Added a transaction,2023-06-01,Web,2900
5,2858,Created a group,2023-02-17,Web,564
6,3864,Joined a group,2023-07-13,Mobile,879
7,3316,Joined a group,2024-09-27,Mobile,1080
8,2663,Created a group,2024-10-15,Mobile,3360
9,1701,Joined a group,2024-03-14,Mobile,2177
10,3207,Added a transaction,2023-01-29,Mobile,1456
11,481,Joined a group,2023-06-10,Web,98
12,323,Joined a group,2023-05-27,Web,1911
13,4549,Created a group,2024-01-06,Web,1744
14,3462,Joined a group,2023-10-02,Mobile,2838
15,710,Added a transaction,2024-12-03,Mobile,2546
16,184,Created a group,2024-05-21,Mobile,2943
17,4112,Created a group,2024-07-28,Web,1917
18,3495,Created a group,2024-01-15,Web,5667
19,4041,Added a transaction,2024-01-05,Web,7870
20,933,Joined a group,2024-07-07,Web,7607
21,4996,Added a transaction,2024-12-06,Mobile,3411
22,772,Added a transaction,2024-07-13,Web,4733
23,2825,Added a transaction,2024-12-09,Mobile,763
24,2547,Created a group,2023-08-02,Mobile,1388
25,4132,Created a group,2024-02-28,Mobile,411
26,1581,Joined a group,2023-10-09,Mobile,858
27,701,Added a transaction,2023-12-09,Mobile,43
28,2599,Added a transaction,2024-10-17,Mobile,3510
29,1561,Joined a group,2024-03-19,Mobile,746
30,746,Added a transaction,2023-07-05,Mobile,1504
31,2668,Joined a group,2024-11-10,Mobile,1118
32,4412,Joined a group,2024-05-12,Mobile,3132
33,4984,Joined a group,2024-09-16,Web,6875
34,2466,Created a group,2023-01-06,Mobile,309
35,505,Added a transaction,2023-06-27,Mobile,3526
36,2450,Created a group,2024-07-07,Mobile,3199
37,1491,Created a group,2023-06-11,Mobile,767
38,1285,Created a group,2024-01-16,Web,6796
39,4764,Joined a group,2024-02-11,Web,1782
40,4511,Joined a group,2024-10-08,Web,2252
41,2349,Created a group,2023-03-23,Mobile,530
42,4183,Created a group,2024-04-20,Mobile,2989
43,3067,Created a group,2023-12-27,Web,1223
44,1489,Added a transaction,2023-08-20,Web,2180
45,2140,Created a group,2024-12-21,Web,6398
46,2989,Joined a group,2023-06-24,Web,979
47,3668,Created a group,2024-05-14,Mobile,2944
48,3168,Joined a group,2024-12-10,Mobile,708
49,3226,Joined a group,2023-01-15,Web,2061
50,3031,Added a transaction,2023-03-13,Web,2544
51,792,Joined a group,2024-07-28,Web,2644
52,4057,Joined a group,2023-10-28,Mobile,1668
53,1459,Added a transaction,2023-05-31,Web,1343
54,3317,Added a transaction,2024-10-09,Mobile,1578
55,3684,Created a group,2024-12-28,Web,4523
56,2511,Added a transaction,2024-07-10,Mobile,3152
57,3502,Created a group,2023-01-27,Web,1733
58,2466,Joined a group,2024-07-27,Web,1502
59,1820,Added a transaction,2024-07-31,Mobile,1051
60,1284,Created a group,2023-12-10,Mobile,193
61,544,Added a transaction,2023-02-21,Web,2817
62,3447,Added a transaction,2024-09-28,Mobile,2057
63,4824,Joined a group,2023-11-11,Mobile,2644
64,1262,Joined a group,2023-09-13,Web,1644
65,1235,Added a transaction,2024-04-14,Mobile,878
66,1672,Created a group,2023-01-13,Web,3560
67,2373,Joined a group,2024-03-23,Mobile,1110
68,1622,Added a transaction,2023-01-29,Web,2089
69,958,Joined a group,2023-01-18,Web,3325
70,148,Joined a group,2024-06-26,Mobile,3539
71,3038,Joined a group,2023-06-07,Mobile,896
72,2977,Created a group,2024-06-15,Mobile,1992
73,82,Created a group,2024-12-25,Web,5304
74,180,Created a group,2023-08-23,Web,3320
75,1625,Created a group,2023-06-29,Mobile,3221
76,1644,Added a transaction,2024-09-01,Web,2733
77,4629,Created a group,2024-06-05,Mobile,1607
78,2650,Added a transaction,2023-09-20,Web,2784
79,4901,Created a group,2023-06-10,Mobile,2661
80,2256,Added a transaction,2024-03-28,Web,624
81,204,Added a transaction,2023-05-30,Web,2366
82,2786,Joined a group,2023-11-30,Web,1630
83,4617,Added a transaction,2024-02-05,Web,653
84,3444,Created a group,2024-05-08,Mobile,641
85,1587,Created a group,2023-07-09,Mobile,1856
86,3629,Joined a group,2024-04-17,Web,7399
87,1033,Joined a group,2024-09-09,Web,244
88,1206,Added a transaction,2023-11-24,Web,2585
89,2624,Added a transaction,2023-06-17,Web,2753
90,1255,Added a transaction,2023-09-02,Mobile,682
91,1141,Added a transaction,2023-06-17,Web,3163
92,3491,Added a transaction,2023-03-02,Web,1100
