GroupID,GroupName,CreatedDate,CreatedBy
1,King Ltd,2023-03-16,2065
2,"Farley, Green and Davis",2023-02-12,1488
3,Pena-Ramirez,2023-05-13,2346
4,Parker-Moore,2024-03-06,2641
5,Phillips LLC,2024-03-11,1051
6,Wilson PLC,2023-02-25,2044
7,Hughes LLC,2023-07-27,4279
8,Murphy Ltd,2023-04-14,3588
9,Baker-Allen,2024-04-08,3404
10,Wheeler-Lowe,2024-04-14,1608
11,Miller Ltd,2024-08-02,4516
12,"Garcia, Patterson and Lee",2023-09-07,4900
13,Romero Ltd,2024-08-25,4535
14,Hernandez-Pena,2024-02-07,1021
15,"Pierce, Torres and Moore",2023-01-26,523
16,Taylor-Perry,2024-12-19,571
17,"Carr, Gomez and Johnson",2023-01-10,4810
18,Arroyo-Duarte,2024-09-01,3340
19,"Gallegos, Brown and Brooks",2024-09-05,4209
20,Pacheco-Singleton,2024-05-11,2453
21,Ortega and Sons,2024-02-14,3474
22,Johnson LLC,2023-05-16,3186
23,Kirk-Tate,2023-08-09,847
24,White-Johnson,2024-06-27,3393
25,Blevins-Martin,2023-10-04,1335
26,"Byrd, Long and Ferguson",2023-04-06,2898
27,Morrow-Hall,2024-03-14,1912
28,Castaneda Ltd,2024-05-22,300
29,Jenkins Group,2024-11-18,4959
30,Greene LLC,2024-09-06,1086
31,Marshall Ltd,2023-07-06,84
32,"Taylor, Daniel and Holmes",2023-02-06,4057
33,Herman-Reed,2023-07-29,1377
34,"Parker, Clark and Carpenter",2024-02-19,1693
35,Garrett-Gamble,2023-05-11,3575
36,Doyle-Taylor,2023-04-08,924
37,"Riley, Burgess and Taylor",2024-03-18,4986
38,Martinez-Berry,2024-06-28,1499
39,Snyder Ltd,2023-02-05,2027
40,"Bush, Wilson and Hughes",2024-05-29,4599
41,Jones-Carter,2024-10-04,3871
42,Rios-Mathews,2023-08-08,4790
43,Cameron and Sons,2023-12-28,2147
44,Zimmerman Ltd,2024-11-24,1726
45,Cortez-Anderson,2023-01-28,2811
46,Morris-Hopkins,2024-06-21,2295
47,"Stephens, Mahoney and Shannon",2024-10-30,2313
48,Kelley-Calderon,2024-06-05,1593
49,Rivas-Wilson,2023-04-19,425
50,Jimenez-Bauer,2024-08-30,4891
51,Campbell-Lindsey,2024-10-19,2372
52,Becker-Miller,2023-06-30,2840
53,Santiago-Garcia,2023-07-29,4944
54,Snyder and Sons,2023-12-08,62
55,Lee-Roberts,2024-10-18,3559
