RetentionID,UserID,MonthlyActive,DaysSinceLastActivity,LifetimeValue,ChurnRisk
1,1,Y,8,693.21,Medium
2,2,Y,6,436.94,High
3,3,Y,23,710.76,Medium
4,4,Y,63,411.02,High
5,5,Y,87,84.45,Medium
6,6,Y,71,192.33,High
7,7,Y,62,167.73,Medium
8,8,N,53,297.93,Low
9,9,Y,44,288.29,Low
10,10,Y,25,717.44,High
11,11,N,4,771.71,Low
12,12,Y,2,870.3,High
13,13,Y,75,436.39,Medium
14,14,Y,3,37.94,Low
15,15,Y,43,750.3,Low
16,16,Y,17,548.93,Low
17,17,Y,50,329.69,Low
18,18,Y,78,24.26,High
19,19,N,61,354.55,High
20,20,Y,1,200.93,High
21,21,Y,35,800.96,High
22,22,N,25,887.78,High
23,23,Y,6,195.84,Low
24,24,N,51,631.17,Low
25,25,Y,74,688.19,High
26,26,N,21,258.75,High
27,27,Y,6,287.9,Medium
28,28,Y,7,703.15,Medium
29,29,N,42,36.25,Medium
30,30,Y,47,361.94,Low
31,31,Y,40,168.9,Medium
32,32,Y,59,191.76,Low
33,33,Y,52,532.42,High
34,34,Y,73,441.88,Low
35,35,Y,37,282.1,Low
36,36,N,86,861.75,High
37,37,Y,33,461.92,High
38,38,Y,60,385.58,Low
39,39,Y,11,962.08,Medium
40,40,Y,8,855.19,High
41,41,Y,44,922.02,Medium
42,42,Y,49,273.7,High
43,43,N,20,17.22,High
44,44,Y,4,454.94,Low
45,45,N,56,204.86,Low
46,46,Y,63,895.69,Medium
47,47,Y,44,881.21,High
48,48,Y,86,928.08,High
49,49,Y,25,806.57,High
50,50,Y,54,96.3,Low
51,51,Y,77,959.08,Low
52,52,N,8,783.12,Medium
53,53,N,9,652.79,Medium
54,54,Y,6,771.24,Medium
55,55,N,74,480.25,Low
56,56,Y,79,434.87,High
57,57,N,62,973.59,Medium
58,58,Y,66,140.05,Medium
59,59,Y,28,457.71,High
60,60,Y,38,281.06,Low
61,61,Y,34,241.57,High
62,62,Y,84,159.48,High
63,63,Y,33,275.35,High
64,64,Y,74,149.08,Low
65,65,Y,12,534.94,Low
66,66,Y,3,362.43,Low
67,67,Y,65,677.09,High
68,68,N,6,588.12,Medium
69,69,N,17,31.54,Low
70,70,Y,16,125.58,Medium
71,71,Y,39,183.22,Low
72,72,Y,83,835.35,Low
73,73,Y,30,687.67,Low
74,74,Y,50,886.6,Low
75,75,Y,40,399.46,High
76,76,Y,10,31.9,Low
77,77,Y,77,715.68,Low
78,78,Y,7,624.18,Medium
79,79,Y,42,231.89,Medium
80,80,Y,46,205.57,Medium
81,81,Y,64,863.63,High
82,82,Y,80,887.62,High
83,83,N,78,20.59,Medium
84,84,Y,80,650.14,Medium
85,85,Y,74,290.85,Low
86,86,N,56,108.11,Medium
87,87,Y,15,508.77,Low
88,88,Y,77,255.16,High
89,89,Y,6,357.49,High
90,90,Y,48,411.25,Medium
91,91,Y,48,677.22,Medium
92,92,N,38,991.88,Low
93,93,Y,81,68.24,Medium
94,94,Y,66,436.42,High
95,95,N,56,634.3,Medium
96,96,Y,58,342.51,Medium
97,97,Y,83,192.42,High
98,98,Y,76,51.58,Medium
99,99,Y,13,560.03,High
100,100,Y,26,212.98,Low
101,101,Y,46,955.67,Low
102,102,Y,79,842.72,Medium
103,103,Y,72,466.81,Low
104,104,Y,2,793.86,Medium
105,105,Y,39,786.0,Low
106,106,Y,51,228.86,Medium
107,107,Y,41,978.08,Low
108,108,Y,37,639.64,Low
109,109,Y,68,174.96,High
110,110,Y,32,198.54,Low
111,111,Y,50,228.46,High
112,112,Y,83,187.84,Medium
113,113,N,45,552.42,Medium
114,114,Y,22,428.12,High
115,115,N,21,688.69,Medium
116,116,Y,65,370.92,Low
117,117,Y,6,458.16,High
118,118,N,30,615.31,High
119,119,Y,45,220.0,Low
120,120,N,53,40.72,Low
121,121,Y,5,817.58,Low
122,122,Y,9,407.06,Medium
123,123,Y,74,906.65,Low
124,124,Y,61,184.28,High
125,125,Y,42,960.44,Low
126,126,Y,71,211.07,Low
127,127,Y,62,456.14,High
128,128,Y,15,316.15,Low
129,129,Y,35,446.94,Medium
130,130,Y,75,272.55,Medium
131,131,Y,41,177.51,Medium
132,132,Y,69,719.87,Low
133,133,Y,67,142.93,Medium
134,134,Y,79,55.06,High
135,135,Y,83,42.46,Medium
136,136,Y,71,314.72,Medium
137,137,Y,74,515.4,High
138,138,Y,50,638.86,High
139,139,N,73,564.58,High
140,140,Y,83,973.79,Low
141,141,Y,1,261.59,High
142,142,Y,35,381.41,Low
143,143,Y,69,647.75,Low
144,144,Y,72,111.82,Low
145,145,Y,61,842.72,High
146,146,Y,34,400.63,Medium
147,147,Y,14,124.93,Low
148,148,Y,56,968.05,High
149,149,N,53,865.57,Medium
150,150,N,9,717.14,High
151,151,Y,21,965.49,Low
152,152,Y,64,128.23,Low
153,153,Y,69,752.69,High
154,154,Y,13,323.43,Low
155,155,Y,84,485.88,Low
156,156,Y,29,486.54,High
157,157,Y,40,726.31,High
158,158,Y,17,675.67,Low
159,159,N,0,130.3,High
160,160,Y,69,809.67,Medium
161,161,N,6,706.37,Medium
162,162,Y,11,404.03,High
163,163,N,42,525.41,High
164,164,Y,82,499.65,Low
165,165,Y,58,279.03,High
166,166,Y,53,571.94,High
167,167,Y,74,313.76,High
168,168,Y,22,625.31,Medium
169,169,N,80,962.01,Low
170,170,Y,66,810.02,Low
171,171,Y,50,410.0,Medium
172,172,Y,24,815.92,High
173,173,Y,22,30.44,Low
174,174,Y,25,312.87,High
175,175,Y,77,68.06,Low
176,176,Y,27,308.08,Medium
177,177,Y,15,486.7,Low
178,178,Y,78,864.74,Medium
179,179,Y,44,471.86,Low
180,180,Y,35,735.45,Low
181,181,Y,84,671.23,Low
182,182,Y,48,824.44,Medium
183,183,Y,64,236.29,High
184,184,N,67,257.45,High
185,185,N,4,955.89,High
186,186,N,21,295.23,Low
187,187,Y,52,674.84,Low
188,188,Y,76,869.3,High
189,189,Y,72,767.25,Medium
190,190,Y,10,852.82,Medium
191,191,Y,10,193.74,Medium
192,192,Y,68,775.03,Low
193,193,Y,4,921.82,Medium
194,194,Y,56,462.12,High
195,195,Y,38,86.01,High
196,196,N,11,226.76,Medium
197,197,Y,33,354.55,Medium
198,198,Y,38,33.65,Low
199,199,Y,82,504.58,Medium
200,200,Y,20,116.42,Low
201,201,Y,67,322.46,High
202,202,Y,8,768.56,Low
203,203,Y,58,469.95,High
204,204,N,58,387.44,High
205,205,Y,87,252.61,Low
206,206,Y,69,522.74,High
207,207,Y,51,787.0,Low
208,208,N,45,519.5,Low
209,209,Y,46,785.96,Low
210,210,Y,69,633.01,Medium
211,211,Y,37,165.61,High
212,212,N,9,580.48,Low
213,213,Y,30,443.18,High
214,214,N,34,448.55,Low
215,215,N,48,129.3,Medium
216,216,N,79,977.89,High
217,217,Y,69,801.91,High
218,218,Y,70,574.84,Low
219,219,Y,19,430.67,High
220,220,Y,59,912.25,High
221,221,Y,1,249.16,High
222,222,Y,46,138.14,Medium
223,223,Y,56,174.21,Low
224,224,Y,21,453.22,Low
225,225,N,34,728.13,Low
226,226,Y,44,64.46,Low
227,227,Y,0,507.1,Low
228,228,N,51,911.52,Low
229,229,Y,79,638.73,Low
230,230,Y,0,155.5,Low
231,231,Y,41,578.96,Low
232,232,Y,73,109.47,Low
233,233,Y,81,930.28,Low
234,234,Y,35,458.76,Medium
235,235,Y,12,209.64,Low
236,236,Y,41,14.23,Low
237,237,Y,34,757.97,Medium
238,238,Y,52,319.75,High
239,239,Y,85,357.04,Low
240,240,Y,28,889.53,Medium
241,241,Y,64,783.03,Medium
242,242,Y,13,86.03,Medium
243,243,N,28,857.99,Medium
244,244,Y,14,569.79,Medium
245,245,Y,87,407.32,Low
246,246,N,63,877.89,Medium
247,247,Y,81,372.88,Medium
248,248,Y,73,746.94,Medium
249,249,Y,86,380.53,Low
250,250,Y,22,779.01,Medium
251,251,Y,11,169.48,Low
252,252,Y,59,673.99,Low
253,253,Y,74,656.0,High
254,254,Y,79,984.76,Low
255,255,Y,67,375.45,High
256,256,Y,60,577.39,High
257,257,Y,69,576.56,Medium
258,258,Y,68,345.77,Medium
259,259,Y,23,761.62,Medium
260,260,N,13,762.24,Low
261,261,Y,5,787.4,Medium
262,262,N,27,97.0,Low
263,263,Y,19,405.78,Low
264,264,Y,19,121.67,High
265,265,Y,62,938.4,High
266,266,N,21,621.3,High
267,267,Y,71,85.12,Low
268,268,Y,68,972.8,Low
269,269,Y,10,90.86,High
270,270,N,51,596.41,Low
271,271,Y,89,193.05,Medium
272,272,Y,62,211.54,Medium
273,273,N,53,546.61,Low
274,274,Y,89,297.89,High
275,275,Y,58,685.71,Medium
276,276,Y,88,659.29,Low
277,277,Y,89,719.77,High
278,278,Y,81,679.31,High
279,279,Y,37,758.22,Medium
280,280,Y,55,128.13,Low
281,281,Y,88,214.43,Low
282,282,N,4,489.53,High
283,283,N,41,911.27,Medium
284,284,Y,83,993.91,High
285,285,Y,45,947.73,Medium
286,286,Y,86,597.49,High
287,287,Y,67,567.17,Low
288,288,N,35,981.5,High
289,289,Y,12,165.18,Medium
290,290,Y,84,451.72,Medium
291,291,Y,85,143.98,Low
292,292,Y,50,398.52,Low
293,293,Y,76,775.04,Medium
294,294,Y,41,259.02,Medium
295,295,Y,73,468.17,High
296,296,N,18,414.56,Medium
297,297,Y,69,742.66,Low
298,298,Y,84,501.39,High
299,299,Y,23,952.16,Medium
300,300,Y,16,575.66,Medium
301,301,Y,36,259.66,Medium
302,302,N,79,608.59,Low
303,303,Y,50,475.41,Low
304,304,Y,6,200.31,Medium
305,305,Y,42,812.27,Low
306,306,N,51,308.95,Low
307,307,Y,10,902.66,High
308,308,Y,34,988.37,Low
309,309,Y,87,356.16,Low
310,310,Y,86,808.98,Low
311,311,Y,71,760.79,Medium
312,312,Y,69,980.35,Low
313,313,N,21,277.49,Medium
314,314,Y,27,681.88,High
315,315,Y,19,562.84,Medium
316,316,N,55,676.76,High
317,317,Y,29,343.52,Low
318,318,Y,85,575.18,Low
319,319,Y,29,803.04,Low
320,320,Y,72,863.15,Medium
321,321,N,51,118.05,High
322,322,N,57,960.22,High
323,323,Y,29,46.26,High
324,324,N,30,68.03,Medium
325,325,Y,45,208.49,Low
326,326,Y,84,242.31,High
327,327,Y,53,795.32,Medium
328,328,Y,5,608.68,High
329,329,Y,68,728.62,High
330,330,Y,59,529.6,Medium
331,331,Y,14,157.51,Medium
332,332,Y,34,884.96,Medium
333,333,Y,56,494.86,Low
334,334,N,62,847.83,Low
335,335,Y,3,117.08,High
336,336,Y,17,361.13,Medium
337,337,N,86,329.46,Low
338,338,N,6,509.99,High
339,339,Y,43,684.92,High
340,340,Y,49,821.76,Medium
341,341,Y,20,147.25,High
342,342,N,41,348.54,Medium
343,343,Y,45,67.21,Medium
344,344,Y,42,592.8,Medium
345,345,Y,67,838.85,High
346,346,N,40,98.22,High
347,347,Y,32,125.56,High
348,348,Y,13,346.87,Low
349,349,Y,55,447.68,Low
350,350,Y,24,550.28,Low
351,351,Y,3,311.17,High
352,352,Y,80,717.44,Low
353,353,N,51,341.1,Low
354,354,Y,15,867.65,High
355,355,Y,68,786.03,Medium
356,356,Y,26,827.94,High
357,357,Y,14,269.92,High
358,358,Y,79,495.13,High
359,359,Y,38,681.3,High
360,360,Y,57,734.61,Low
361,361,Y,34,564.07,Low
362,362,Y,60,96.98,Medium
363,363,N,76,772.92,High
364,364,N,86,91.23,High
365,365,Y,17,358.98,Medium
366,366,Y,55,807.48,Low
367,367,Y,77,16.37,High
368,368,Y,10,687.02,Low
369,369,N,57,694.88,Low
370,370,Y,54,937.24,Medium
371,371,Y,49,842.64,Low
372,372,Y,49,942.1,Low
373,373,Y,62,359.54,Low
374,374,Y,66,494.0,High
375,375,Y,33,617.26,Low
376,376,Y,52,946.83,Low
377,377,Y,55,275.58,High
378,378,Y,69,639.54,Medium
379,379,N,28,925.74,Low
380,380,N,64,442.24,High
381,381,Y,85,221.12,Medium
382,382,N,6,47.21,Low
383,383,Y,48,229.69,Low
384,384,Y,89,383.17,Low
385,385,N,80,143.39,Low
386,386,Y,5,160.52,Medium
387,387,Y,15,407.53,High
388,388,Y,20,520.77,Medium
389,389,Y,21,310.02,Low
390,390,N,43,85.14,High
391,391,Y,34,452.75,Medium
392,392,Y,40,818.22,Medium
393,393,Y,63,893.56,Medium
394,394,Y,74,255.77,High
395,395,N,73,258.51,Low
396,396,Y,24,495.96,Low
397,397,Y,71,915.61,Low
398,398,Y,59,207.39,High
399,399,N,41,703.35,Low
400,400,Y,9,526.14,Low
401,401,N,73,801.38,Low
402,402,Y,50,746.93,Low
403,403,Y,89,337.53,Low
404,404,Y,89,433.2,Medium
405,405,Y,13,530.79,High
406,406,Y,42,592.18,Medium
407,407,N,77,325.02,Low
408,408,Y,7,713.2,Low
409,409,N,47,546.98,Medium
410,410,Y,37,534.57,High
411,411,Y,30,720.17,Low
412,412,Y,15,19.77,Medium
413,413,Y,37,753.72,Low
414,414,Y,36,890.46,Medium
415,415,Y,24,934.99,Medium
416,416,Y,34,883.47,Medium
417,417,Y,60,201.6,Low
418,418,Y,84,538.35,Low
419,419,N,59,595.05,Medium
420,420,Y,11,89.49,Low
421,421,Y,22,894.44,High
422,422,Y,79,63.24,Medium
423,423,Y,89,555.87,Low
424,424,N,74,757.63,High
425,425,N,31,574.0,High
426,426,N,62,984.65,Low
427,427,Y,27,960.79,High
428,428,N,82,808.37,High
429,429,Y,33,623.65,Low
430,430,Y,53,119.51,High
431,431,Y,50,230.08,Medium
432,432,Y,44,408.77,High
433,433,N,26,284.48,Low
434,434,Y,45,583.63,Low
435,435,Y,41,923.99,High
436,436,N,30,638.0,Low
437,437,Y,39,227.86,Medium
438,438,Y,20,886.52,High
439,439,Y,63,86.89,Low
440,440,Y,74,837.55,Medium
441,441,Y,33,884.57,Medium
442,442,Y,14,898.29,Low
443,443,N,60,954.9,Medium
444,444,Y,7,919.62,High
445,445,Y,29,651.46,High
446,446,Y,14,364.0,High
447,447,Y,15,810.65,Low
