SubscriptionID,UserID,PlanType,StartDate,RenewalStatus
1,831,Free,2023-09-18,Active
2,3070,Premium,2024-02-24,Active
3,293,Free,2023-06-06,Active
4,263,Premium,2023-04-29,Active
5,1146,Free,2024-09-15,Active
6,1103,Free,2024-03-10,Active
7,1883,Premium,2024-11-09,Expired
8,1457,Free,2024-11-27,Expired
9,1085,Free,2024-08-11,Active
10,4429,Free,2024-08-04,Active
11,4684,Premium,2023-06-22,Active
12,2143,Free,2024-12-30,Active
13,1814,Free,2024-02-16,Expired
14,4314,Premium,2024-04-18,Expired
15,4634,Free,2024-02-06,Active
16,2766,Free,2023-01-13,Active
17,1881,Free,2023-07-29,Active
18,42,Free,2024-06-29,Expired
19,4894,Free,2024-07-23,Active
20,249,Premium,2023-12-22,Active
21,622,Free,2024-10-31,Active
22,2982,Free,2024-11-19,Active
23,3614,Premium,2024-01-05,Active
24,795,Free,2023-11-14,Active
25,314,Free,2023-05-05,Active
26,1301,Premium,2023-10-30,Active
27,2620,Premium,2024-09-23,Active
28,4715,Free,2023-04-11,Active
29,2029,Free,2023-08-18,Active
30,2521,Free,2023-04-22,Active
31,2893,Premium,2023-01-27,Expired
32,1659,Premium,2024-12-27,Active
33,3552,Free,2023-06-17,Active
34,2744,Free,2024-07-12,Active
35,4983,Premium,2023-08-23,Active
36,1635,Free,2024-03-07,Active
37,1897,Free,2024-09-03,Active
38,1682,Free,2024-01-19,Active
39,1537,Free,2023-12-12,Active
40,3975,Premium,2023-05-31,Active
41,4816,Free,2023-02-02,Active
42,4685,Free,2024-12-29,Active
43,3515,Free,2024-09-08,Active
44,3706,Free,2024-09-16,Active
45,2061,Free,2023-03-12,Expired
46,2789,Free,2024-09-24,Expired
47,2864,Premium,2023-12-26,Active
48,3675,Premium,2023-04-19,Active
49,4058,Free,2023-08-30,Expired
50,637,Premium,2024-09-28,Expired
51,1840,Free,2024-08-26,Active
52,230,Premium,2023-03-20,Expired
53,471,Premium,2024-02-05,Active
54,948,Free,2024-09-07,Active
55,1899,Free,2023-02-08,Active
56,1519,Free,2023-05-22,Active
57,26,Premium,2023-02-10,Active
58,2006,Premium,2023-12-15,Active
59,2192,Free,2023-08-30,Active
60,3222,Free,2024-10-14,Expired
61,4198,Premium,2023-06-21,Active
62,2255,Free,2024-02-08,Active
63,1344,Premium,2023-10-04,Active
64,158,Free,2024-10-01,Expired
65,1517,Premium,2023-07-28,Active
66,3049,Premium,2024-06-16,Active
67,1601,Premium,2023-05-18,Active
68,3464,Free,2024-08-17,Active
69,2573,Premium,2024-03-20,Active
70,2248,Free,2024-09-28,Active
71,2035,Free,2023-01-01,Active
72,100,Free,2024-04-07,Expired
73,2100,Free,2024-08-09,Active
74,4212,Free,2023-09-21,Active
75,2676,Free,2024-01-16,Active
76,491,Premium,2023-02-14,Active
77,3395,Free,2024-02-19,Active
78,4435,Free,2023-03-21,Expired
79,3212,Free,2024-04-16,Active
80,4416,Free,2024-10-09,Active
81,411,Free,2023-11-18,Active
82,1762,Free,2024-07-20,Active
83,275,Free,2023-11-22,Active
84,4424,Free,2024-05-10,Active
85,2650,Free,2023-01-20,Active
86,941,Premium,2024-10-03,Active
87,1845,Premium,2023-10-03,Active
88,3968,Premium,2024-05-21,Active
89,2001,Premium,2023-09-13,Active
90,2208,Free,2024-07-29,Active
91,26,Free,2024-04-22,Active
92,1417,Free,2024-06-24,Active
93,3534,Premium,2023-04-16,Expired
94,3125,Free,2024-08-13,Active
95,369,Free,2024-09-25,Expired
96,3750,Free,2024-10-23,Active
97,4071,Free,2024-05-16,Active
98,4919,Free,2023-12-27,Active
99,706,Free,2024-08-24,Active
100,4054,Free,2023-09-27,Expired
101,2902,Free,2024-05-07,Active
102,4348,Free,2023-07-11,Active
103,2475,Premium,2023-06-01,Active
104,4272,Premium,2023-06-06,Expired
105,410,Premium,2023-03-10,Active
106,2244,Free,2023-08-03,Expired
107,2787,Free,2024-10-07,Active
108,2858,Free,2023-03-02,Expired
109,2278,Free,2023-02-19,Active
110,3354,Premium,2024-11-29,Expired
111,3272,Free,2023-12-15,Expired
112,1773,Free,2023-03-17,Active
113,570,Free,2023-12-14,Active
114,3217,Free,2024-05-22,Active
115,710,Free,2023-08-25,Active
116,2080,Free,2023-10-21,Active
117,1993,Free,2023-02-03,Active
118,1583,Free,2023-01-10,Active
119,3038,Free,2023-06-01,Active
120,4116,Free,2024-11-07,Active
121,1575,Premium,2023-08-03,Active
122,4405,Free,2024-05-09,Active
123,3695,Free,2023-08-09,Active
124,4631,Premium,2023-08-11,Active
125,1800,Free,2024-09-11,Active
126,4659,Premium,2023-07-05,Active
127,772,Free,2023-05-09,Active
128,2908,Free,2024-12-08,Expired
129,842,Free,2023-06-30,Expired
130,889,Free,2024-10-11,Active
131,2126,Free,2023-12-25,Active
132,2824,Free,2024-05-29,Active
133,416,Free,2023-10-20,Active
134,2800,Premium,2023-10-10,Expired
135,4222,Free,2024-02-25,Active
136,2198,Premium,2024-06-16,Active
137,1366,Free,2024-07-01,Active
138,3387,Premium,2023-04-26,Active
139,1123,Free,2024-12-05,Expired
140,2946,Free,2024-07-22,Active
141,4140,Free,2023-08-28,Active
142,1295,Premium,2024-06-11,Expired
143,2673,Free,2024-02-24,Active
144,2051,Premium,2024-02-10,Active
145,2130,Free,2023-02-23,Expired
146,3015,Free,2024-03-13,Active
147,2258,Premium,2023-05-10,Expired
148,2132,Free,2024-03-08,Active
149,3597,Free,2023-06-14,Active
150,2798,Free,2023-07-11,Active
151,171,Free,2023-12-03,Expired
152,4357,Free,2023-07-18,Active
153,3841,Premium,2023-07-06,Active
154,1958,Premium,2023-03-26,Expired
155,3974,Free,2023-07-13,Active
156,1410,Premium,2023-10-02,Active
157,103,Free,2024-11-25,Active
158,1608,Free,2024-01-13,Active
159,3564,Premium,2023-11-07,Active
160,505,Free,2024-08-26,Active
161,1610,Free,2023-10-07,Active
162,4814,Free,2023-06-16,Expired
163,4848,Premium,2023-03-17,Active
164,4791,Free,2024-06-02,Expired
165,2909,Free,2023-03-27,Active
166,1540,Free,2023-07-21,Active
167,3308,Free,2023-08-28,Active
168,1692,Premium,2024-11-24,Active
169,2970,Free,2023-12-11,Active
170,434,Premium,2024-06-23,Active
171,1344,Free,2024-05-31,Active
172,542,Free,2023-09-08,Active
173,731,Free,2024-09-24,Expired
174,1699,Free,2023-11-27,Active
175,1146,Premium,2024-05-16,Active
176,718,Premium,2023-05-14,Expired
177,4807,Premium,2023-02-10,Active
178,1126,Free,2023-04-01,Active
179,357,Premium,2024-05-28,Active
180,4852,Free,2024-11-28,Active
181,3618,Free,2023-04-26,Active
182,400,Free,2023-01-24,Active
183,3690,Free,2024-01-03,Active
184,1984,Premium,2023-03-31,Active
185,1679,Premium,2023-06-08,Active
186,131,Free,2023-11-19,Active
187,4029,Free,2024-10-15,Active
188,4208,Free,2023-03-02,Active
189,1144,Free,2023-05-26,Active
190,2786,Free,2023-08-31,Active
191,4844,Free,2023-12-17,Active
192,3213,Premium,2024-07-30,Active
193,1516,Free,2024-10-27,Active
194,3787,Free,2024-09-17,Active
195,2037,Free,2023-12-29,Active
196,1737,Free,2024-10-21,Active
197,4597,Premium,2024-11-23,Active
198,1770,Free,2023-12-11,Expired
199,592,Free,2024-01-18,Active
200,4737,Premium,2024-09-11,Active
201,2252,Premium,2023-09-16,Active
202,3121,Free,2023-09-21,Active
203,995,Premium,2024-10-10,Expired
204,267,Free,2023-06-25,Active
205,451,Free,2023-10-25,Active
206,3003,Free,2024-09-21,Active
207,3284,Free,2023-01-25,Active
208,3763,Free,2023-04-22,Expired
209,2108,Premium,2024-09-24,Active
210,2723,Free,2023-11-21,Active
211,1041,Free,2024-09-25,Active
